gas_id,target_batch,model,budget,frozen_nrmse,light_nrmse,delta_nrmse,d_ref,reference_frozen_nrmse,drift_increase_test,n_reference,n_test
CO,9,pls,2,0.1327562316483089,0.0913309179589233,0.04142531368938561,1.0968425740950896,0.1459526550845396,0.9072549131453987,2,202
CO,9,pls,5,0.1327562316483089,0.0899825978694801,0.04277363377882881,1.6991914329836548,0.1878797011718545,0.9072549131453987,5,202
CO,9,pls,10,0.1327562316483089,0.0904129184043984,0.04234331324391051,2.2674867279492426,0.2274364176354519,0.9072549131453987,10,202
CO,9,pls,20,0.1327562316483089,0.0907330475998724,0.04202318404843651,1.4826364926431503,0.1728061954614838,0.9072549131453987,20,202
CO,9,pls,50,0.1327562316483089,0.090330149648768,0.04242608199954091,0.9548209294306323,0.1360671079412611,0.9072549131453987,50,202
CO,9,random_forest,0,0.0912422264134439,0.0912422264134439,0.0,,,0.1455265862444844,0,202
CO,9,random_forest,2,0.0912422264134439,0.0793010308584019,0.011941195555042,-0.1805308772827216,0.0652714551819562,0.145526586244484,2,202
CO,9,random_forest,5,0.0912422264134439,0.07916333724573,0.012078889167713894,0.48387715120335,0.118192154268287,0.1455265862444844,5,202
CO,9,random_forest,10,0.0912422264134439,0.0782248801100579,0.013017346303385996,0.7191490802382217,0.1369317757449953,0.145526586244484,10,202
CO,9,random_forest,20,0.0912422264134439,0.0786974134548141,0.012544812958629803,0.3428707441094009,0.1069608666872701,0.145526586244484,20,202
CO,9,random_forest,50,0.0912422264134439,0.0786394733279986,0.012602753085445298,0.157979963354001,0.0922341491391867,0.145526586244484,50,202
CO,9,xgboost,0,0.0963448326513352,0.0963448326513352,0.0,,,0.2676042823084777,0,202
CO,9,xgboost,2,0.0963448326513352,0.080065899067282,0.016278933584053204,0.4884659816889686,0.1131315252831645,0.2676042823084777,2,202
CO,9,xgboost,5,0.0963448326513352,0.0826489000423425,0.013695932608992697,1.09626189128113,0.1593273263017449,0.2676042823084777,5,202
CO,9,xgboost,10,0.0963448326513352,0.0793588912594466,0.016985941391888595,0.9334532577284766,0.1469529830049101,0.2676042823084777,10,202
CO,9,xgboost,20,0.0963448326513352,0.0797114025347216,0.0166334301166136,0.4948272632476165,0.1136150173443461,0.2676042823084777,20,202
CO,9,xgboost,50,0.0963448326513352,0.0801755447214448,0.016169287929890405,0.3005514119109251,0.0988489940305543,0.2676042823084777,50,202
CO,10,pls,0,0.1756550953007581,0.1756550953007581,0.0,,,1.5235654806691843,0,146
CO,10,pls,2,0.1756550953007581,0.1154789030605435,0.0601761922402146,1.4604239267282275,0.1712600693900393,1.5235654806691843,2,146
CO,10,pls,5,0.1756550953007581,0.0972812813625107,0.0783738139382474,2.4143401088080148,0.237658282218552,1.5235654806691843,5,146
CO,10,pls,10,0.1756550953007581,0.1085606957908772,0.0670943995098809,3.2392304164484087,0.2950755304378541,1.5235654806691843,10,146
CO,10,pls,20,0.1756550953007581,0.1035573196164074,0.07209777568435069,2.532154628477388,0.2458588701719302,1.5235654806691843,20,146
