gas_id,target_batch,model,budget,n_reference,n_test,residual_df,panel_targets,panel_predictions,extreme_true_gap,extreme_pred_gap,extreme_gap_ratio,panel_rank_agreement,panel_pearson_r,panel_residual_rmse,calibrator_slope,calibrator_intercept,frozen_nrmse,light_nrmse,ratio,window_set
CO,12,random_forest,5,5,189,3,"0.4, 1, 1.1, 3.1, 5.4","0.316, 0.928, 0.973, 2.575, 4.439",5.0,4.123000000000004,0.8246000000000008,1.0,0.9996281749115646,0.050189823620304136,1.2293762778994122,-0.06955154663010621,0.09435807578217419,0.08081664824193362,0.8564889393092227,held
CO,12,xgboost,5,5,189,3,"0.4, 1, 1.1, 3.1, 5.4","0.323, 0.966, 0.994, 2.483, 4.007",5.0,3.6836891770362854,0.7367378354072571,1.0,0.9980633069202468,0.11450032604965872,1.3806265443267538,-0.22245146624847711,0.09286004125027851,0.07534652742316746,0.8113988149121296,held
CO,13,pls,5,5,209,3,"0.5, 0.7, 0.9, 3.5, 4.9","-0.381, -0.163, 0.483, 2.693, 3.389",4.4,3.7705896946549795,0.8569522033306771,1.0,0.9874191206693566,0.28073291469013617,1.1366107412867492,0.7314493250515084,0.11746482053839877,0.11615028445250151,0.9888091082941081,held
CO,13,random_forest,5,5,209,3,"0.5, 0.7, 0.9, 3.5, 4.9","0.466, 0.633, 0.920, 3.454, 3.463",4.4,2.997499999999997,0.6812499999999992,1.0,0.9683310544539446,0.4432604451395502,1.2525195061045624,-0.1387533652112931,0.07867302544505335,0.09090604566491833,1.155491925608082,held
CO,13,xgboost,5,5,209,3,"0.5, 0.7, 0.9, 3.5, 4.9","0.460, 0.702, 0.894, 3.295, 3.005",4.4,2.544581353664398,0.5783139440146359,0.9,0.9461110864952283,0.5749454369399755,1.3783746724993458,-0.20360354149818827,0.08675620963472962,0.09829824875682361,1.1330399192252583,held
NO2,4,pls,5,5,191,3,"45, 54, 73, 147, 177","59.407, 63.861, 72.407, 92.988, 131.467",132.0,72.05941653670695,0.5459046707326284,1.0,0.9555383665725424,15.605559028591868,1.9172600523308865,-61.89938022988922,0.1409191149857765,0.1190823467035905,0.8450404099941298,fit
NO2,4,random_forest,5,5,191,3,"45, 54, 73, 147, 177","51.095, 62.935, 68.405, 111.875, 141.660",132.0,90.565,0.6860984848484848,1.0,0.992700518620982,6.382935749017818,1.539861882640283,-35.06671699493684,0.11318504820447957,0.10889986406268021,0.9621400157549276,fit
NO2,4,xgboost,5,5,191,3,"45, 54, 73, 147, 177","53.562, 63.001, 70.643, 110.533, 138.652",132.0,85.09054183959961,0.6446253169666637,1.0,0.9940490028407354,5.7652246947109385,1.6340162126249258,-43.413975976561446,0.11248499689141202,0.11466235356718044,1.019356863012321,fit
NO2,5,pls,5,5,195,3,"48, 56, 69, 142, 154","50.545, 64.051, 72.204, 131.598, 122.048",106.0,71.50239582913422,0.674550904048436,0.9,0.980952344712098,8.725544336118297,1.3552167801726909,-25.579922666621982,0.13596374370794925,0.11462457293395206,0.8430524918478721,fit
NO2,5,random_forest,5,5,195,3,"48, 56, 69, 142, 154","39.675, 64.035, 64.910, 120.985, 114.480",106.0,74.805,0.7057075471698114,0.9,0.9706185477942552,10.808680163064333,1.3823420958945964,-17.91674116391357,0.12210204675528838,0.11093961589928748,0.9085811323181817,fit
NO2,5,xgboost,5,5,195,3,"48, 56, 69, 142, 154","40.153, 55.020, 76.213, 132.632, 118.842",106.0,78.6894416809082,0.7423532234047944,0.9,0.9629875826724948,12.1078562321559,1.2090225058462236,-8.449742993878928,0.12546685362075863,0.10803421040503564,0.8610577797031905,fit
NO2,6,pls,5,5,107,3,"27, 38, 46, 92, 118","116.603, 62.772, 57.958, 91.991, 112.334",91.0,-4.268629699237209,-0.04690801867293636,0.5,0.3686835082781174,32.38482055015352,0.5274982456319041,17.605277745269838,0.14562709919080236,0.15138594922041682,1.0395451812307896,fit
NO2,6,random_forest,5,5,107,3,"27, 38, 46, 92, 118","117.320, 58.310, 57.670, 95.055, 107.660",91.0,-9.659999999999997,-0.10615384615384611,0.5,0.3445407178133632,32.70591087599671,0.4825242906522846,22.122434282248832,0.12916082518748756,0.14599671535728181,1.1303482704245313,fit
NO2,6,xgboost,5,5,107,3,"27, 38, 46, 92, 118","122.641, 61.028, 60.595, 96.501, 110.944",91.0,-11.697265625,-0.1285413804945055,0.5,0.31242971584624013,33.09504587643345,0.4269439255872242,25.629149867890924,0.13781996125985474,0.15558883828079625,1.1289281817997243,fit
NO2,7,pls,5,5,123,3,"45, 57, 71, 146, 173","62.310, 71.648, 83.734, 130.889, 153.149",128.0,90.83976929508523,0.7096856976178534,1.0,0.9989016182063986,2.402724657216946,1.4467662706995663,-46.7773032872696,0.11757265763449874,0.10601415901514866,0.901690589870969,fit
