gas_id,target_batch,model,budget,frozen_nrmse,light_nrmse,mae_f,mae_l,slope,d_ref,seed,ratio,mae_ratio
CO,6,xgboost,20,0.0528854217363982,0.0532044944634313,0.1712450648866482,0.1785105066463496,1.047627970731869,-0.4221752891817473,20260826,1.0060332832103236,1.042427159956467
CO,6,pls,50,0.0615553715562399,0.0587121208899477,0.2121128584138461,0.1809073435175761,1.1442568206749355,0.1923500635983112,20260826,0.9538098691566751,0.8528824931707534
CO,6,random_forest,50,0.0476180777189675,0.0471259361038535,0.1554291044776118,0.155650004864198,1.0601721168098364,-0.4121609128183033,20260826,0.9896648155765859,1.001421229230707
CO,6,xgboost,50,0.0528854217363982,0.0529691578248536,0.1712450648866482,0.1694767175948094,1.0970290125404187,-0.2788044569186681,20260826,1.0015833491670496,0.9896735868387838
CO,7,pls,0,0.0857710136267991,0.0857710136267991,0.4089690768394434,0.4089690768394434,1.0484107961264508,,20260826,1.0,1.0
CO,7,random_forest,0,0.0593806397269783,0.0593806397269783,0.2749316546762593,0.2749316546762593,1.0082230641511254,,20260826,1.0,1.0
CO,7,xgboost,0,0.0697857724722782,0.0697857724722782,0.3088968183496872,0.3088968183496872,1.050828917807343,,20260826,1.0,1.0
CO,7,pls,2,0.0857710136267991,0.1036713904648132,0.4089690768394434,0.5292850788306322,0.7446058538067059,1.5701682947036606,20260826,1.2086996070245943,1.2941933970191677
CO,7,random_forest,2,0.0593806397269783,0.1008559679859863,0.2749316546762592,0.4926272185185829,0.7497513331596558,0.8726466396937559,20260826,1.6984655007036675,1.791817021210843
CO,7,xgboost,2,0.0697857724722782,0.1229432583373671,0.3088968183496872,0.5905345419263436,0.7171968795741224,1.5403372819007235,20260826,1.7617238296847006,1.9117533974009013
CO,7,pls,3,0.0857710136267991,0.0918742887986415,0.4089690768394434,0.4429951111878648,0.8230950256875804,1.2372196499572057,20260826,1.0711577829591539,1.0831995284616094
CO,7,random_forest,3,0.0593806397269783,0.1025132352706065,0.2749316546762592,0.4898705080725997,0.7957660757198276,0.5540908302762679,20260826,1.7263747198067292,1.7817901276207642
CO,7,xgboost,3,0.0697857724722782,0.1285712985345348,0.3088968183496872,0.6160570098288953,0.7763184818817279,1.1214488118557948,20260826,1.8423712166489044,1.9943779710009408
CO,7,pls,4,0.0857710136267991,0.0853291816069451,0.4089690768394434,0.4169010803012928,0.8367862406880255,1.0790220335506606,20260826,0.9948487023625898,1.0193951178977854
CO,7,random_forest,4,0.0593806397269783,0.0860835596693424,0.2749316546762592,0.4062328397368374,0.8237248454584502,0.3587574974024461,20260826,1.4496906746902596,1.4775775463730778
CO,7,xgboost,4,0.0697857724722782,0.1089995597998658,0.3088968183496872,0.5152089643457449,0.8048397714335296,0.8984634953610305,20260826,1.5619166477402673,1.6678998738099715
CO,7,pls,5,0.0857710136267991,0.08617464243896,0.4089690768394434,0.4162546346640643,0.8564177327651814,0.9335469315555288,20260826,1.0047058883309592,1.0178144467081094
CO,7,random_forest,5,0.0593806397269783,0.0874105943107503,0.2749316546762592,0.4119888197641388,0.8399922553367519,0.2321716863492251,20260826,1.472038609092943,1.4985135860374783
CO,7,xgboost,5,0.0697857724722782,0.1093979787518342,0.3088968183496872,0.5175181919484274,0.8072340594089488,0.7011727344225417,20260826,1.5676258193644215,1.6753755986005983
CO,7,pls,6,0.0857710136267991,0.0819063115726259,0.4089690768394434,0.3993998649182412,0.8650944674938166,0.8210368934552277,20260826,0.9549416301527107,0.9766016247605954
CO,7,random_forest,6,0.0593806397269783,0.0791136965079728,0.2749316546762592,0.3696055086284813,0.8550554500729357,0.1249188064749851,20260826,1.332314654603312,1.3443541416273204
CO,7,xgboost,6,0.0697857724722782,0.0907945481784521,0.3088968183496872,0.423646900372614,0.844957180186707,0.556343540783102,20260826,1.3010466884853853,1.3714835349745291
CO,7,pls,8,0.0857710136267991,0.0813290171331938,0.4089690768394434,0.3972918731780243,0.8640833757705622,0.6650535253550836,20260826,0.9482109828743193,0.9714472210181225
CO,7,random_forest,8,0.0593806397269783,0.0747673886415147,0.2749316546762592,0.3511359869809208,0.8608392130899064,-0.0221957460553924,20260826,1.2591206323354205,1.2771755489355878
CO,7,xgboost,8,0.0697857724722782,0.0872535064928187,0.3088968183496872,0.4078357466733819,0.848309124832983,0.3527290914910566,20260826,1.2503050894432588,1.3202976607278962
CO,7,pls,10,0.0857710136267991,0.0814389897524972,0.4089690768394434,0.3957273235264596,0.8834492398192344,0.7245789343337982,20260826,0.9494931481962997,0.9676216270058424
CO,7,random_forest,10,0.0593806397269783,0.0770915152822558,0.2749316546762593,0.3599347759247986,0.8742759335588539,-0.0341635254440841,20260826,1.2982601002062115,1.309179098887806
CO,7,xgboost,10,0.0697857724722782,0.0888444752066828,0.3088968183496872,0.4142874022805203,0.8548385270251168,0.260223363903093,20260826,1.2731029844511002,1.3411837794053467
CO,7,pls,20,0.0857710136267991,0.096465306454654,0.4089690768394434,0.4657535073667008,0.8044047391257596,0.5991438025005802,20260826,1.1246842304369533,1.1388477362789713
CO,7,random_forest,20,0.0593806397269783,0.0971012497843403,0.2749316546762592,0.4629463300256499,0.7840734459310622,0.0992145003486898,20260826,1.6352341475402539,1.6838596871312763
CO,7,xgboost,20,0.0697857724722782,0.1059018446836969,0.3088968183496872,0.5035826204026639,0.7705051036578426,0.3290241732787121,20260826,1.517527727098894,1.6302615970378247
CO,7,pls,50,0.0857710136267991,0.0739058344688179,0.4089690768394434,0.3633195278507676,0.919349410838888,0.3551147846410378,20260826,0.8616644638291422,0.8883789714824887
