gas_id,target_batch,model,budget,frozen_nrmse,light_nrmse,slope,d_ref,n_reference,n_test,ratio,delta_nrmse,window_set
CO,13,xgboost,0,0.0867562096347296,0.0867562096347296,1.179379059251144,,0,209,1.0,0.0,held
NO2,4,pls,0,0.1409191149857765,0.1409191149857765,1.42041040278609,,0,191,1.0,0.0,fit
NO2,4,random_forest,0,0.1131850482044795,0.1131850482044795,1.2120727374270994,,0,191,1.0,0.0,fit
NO2,4,xgboost,0,0.112484996891412,0.112484996891412,1.2233211630735654,,0,191,1.0,0.0,fit
NO2,5,pls,0,0.1359637437079492,0.1359637437079492,1.4175017466355448,,0,195,1.0,0.0,fit
NO2,5,random_forest,0,0.1221020467552883,0.1221020467552883,1.2991420950566488,,0,195,1.0,0.0,fit
NO2,5,xgboost,0,0.1254668536207586,0.1254668536207586,1.3027852929196873,,0,195,1.0,0.0,fit
NO2,6,pls,0,0.1456270991908023,0.1456270991908023,1.0716961129749178,,0,107,1.0,0.0,fit
NO2,6,random_forest,0,0.1291608251874875,0.1291608251874875,0.9573440034536856,,0,107,1.0,0.0,fit
NO2,6,xgboost,0,0.1378199612598547,0.1378199612598547,0.9331396528037847,,0,107,1.0,0.0,fit
NO2,7,pls,0,0.1175726576344987,0.1175726576344987,1.3430630022615084,,0,123,1.0,0.0,fit
NO2,7,random_forest,0,0.1318241008732545,0.1318241008732545,1.3488117477722088,,0,123,1.0,0.0,fit
NO2,7,xgboost,0,0.1333209424912854,0.1333209424912854,1.387927561031575,,0,123,1.0,0.0,fit
NO2,8,pls,0,0.2407391078243416,0.2407391078243416,0.8975832258561104,,0,144,1.0,0.0,fit
NO2,8,random_forest,0,0.1954197837583011,0.1954197837583011,0.9602638237006592,,0,144,1.0,0.0,fit
NO2,8,xgboost,0,0.1924323096621681,0.1924323096621681,1.047322478146144,,0,144,1.0,0.0,fit
NO2,9,pls,0,0.1326317536492991,0.1326317536492991,1.0374073924367675,,0,176,1.0,0.0,fit
NO2,9,random_forest,0,0.1718266167249796,0.1718266167249796,1.1368816970042448,,0,176,1.0,0.0,fit
NO2,9,xgboost,0,0.172052570540527,0.172052570540527,1.2306251526966256,,0,176,1.0,0.0,fit
NO2,10,pls,0,0.0937224626065149,0.0937224626065149,1.0570101940647747,,0,138,1.0,0.0,held
NO2,10,random_forest,0,0.1856688312052988,0.1856688312052988,1.2798866566885558,,0,138,1.0,0.0,held
NO2,10,xgboost,0,0.1992833634394797,0.1992833634394797,1.389301518824225,,0,138,1.0,0.0,held
NO2,11,pls,0,0.12472404831591,0.12472404831591,1.060611957846712,,0,182,1.0,0.0,held
NO2,11,random_forest,0,0.257063968293055,0.257063968293055,1.121375578546132,,0,182,1.0,0.0,held
NO2,11,xgboost,0,0.2591877447290878,0.2591877447290878,1.4281443150378164,,0,182,1.0,0.0,held
NO2,12,pls,0,0.1783628379858273,0.1783628379858273,1.5994404838520742,,0,144,1.0,0.0,held
NO2,12,random_forest,0,0.3532057076496466,0.3532057076496466,1.66777865579046,,0,144,1.0,0.0,held
NO2,12,xgboost,0,0.3475386021906975,0.3475386021906975,1.89124258966524,,0,144,1.0,0.0,held
NO2,13,pls,0,0.1441185089478762,0.1441185089478762,1.2873231822595703,,0,194,1.0,0.0,held
NO2,13,random_forest,0,0.2511566141493447,0.2511566141493447,1.4029287050923862,,0,194,1.0,0.0,held
NO2,13,xgboost,0,0.2589187062140269,0.2589187062140269,1.570843965272461,,0,194,1.0,0.0,held
NOx,4,pls,0,0.0957299318508368,0.0957299318508368,1.1721565546680848,,0,197,1.0,0.0,fit
NOx,4,random_forest,0,0.0902620850209509,0.0902620850209509,0.975135551882858,,0,197,1.0,0.0,fit
NOx,4,xgboost,0,0.090485713534672,0.090485713534672,0.9631082699978136,,0,197,1.0,0.0,fit
NOx,5,pls,0,0.099780434341423,0.099780434341423,1.1717441972139526,,0,198,1.0,0.0,fit
NOx,5,random_forest,0,0.0919113527270852,0.0919113527270852,1.0086625176047277,,0,198,1.0,0.0,fit
NOx,5,xgboost,0,0.0963315106573193,0.0963315106573193,0.9613667750299592,,0,198,1.0,0.0,fit
NOx,6,pls,0,0.1016509067851692,0.1016509067851692,1.240695538034672,,0,107,1.0,0.0,fit
